id,name,source,rarity,acquired_runs,wins,win_rate,ci_low,ci_high,baseline_delta,median_floor,rarity_rank,rarity_pool,a0_runs,a0_wins,a0_win_rate,a0_rarity_rank,a0_rarity_pool,a10_runs,a10_wins,a10_win_rate,a10_rarity_rank,a10_rarity_pool
AMETHYST_AUBERGINE,紫水晶茄子,原版,Common,411,310,0.754257907542579,0.710407397460425,0.7933995281880926,0.18488511362457738,15,26,27,141,96,0.6808510638297872,26,27,84,55,0.6547619047619048,27,27
BOOK_OF_FIVE_RINGS,五轮书,原版,Common,391,294,0.7519181585677749,0.7067958007003102,0.7921386338658983,0.18254536464977322,22,27,27,125,85,0.68,27,27,90,67,0.7444444444444445,23,27
FAKE_MERCHANTS_RUG,商人的地毯？？？,原版,Event,13,13,1.0,0.7719046276458016,0.9999999999999999,0.43062720608199834,37,,,5,5,1.0,,,3,3,1.0,,
WONGO_CUSTOMER_APPRECIATION_BADGE,旺购客户感恩徽章,原版,Event,1,1,1.0,0.20654931437723745,1.0,0.43062720608199834,44,,,0,0,,,,0,0,,,
HISTORY_COURSE,历史课,原版,Event,85,82,0.9647058823529412,0.9012995216039354,0.987924958145358,0.39533308843493953,37,,,35,33,0.9428571428571428,,,15,14,0.9333333333333333,,
FAKE_VENERABLE_TEA_SET,古茶具套装？？？,原版,Event,161,147,0.9130434782608695,0.8593399178381436,0.9474959410016546,0.34367068434286785,36,,,57,50,0.8771929824561403,,,25,22,0.88,,
FORGOTTEN_SOUL,遗忘之魂,原版,Event,100,91,0.91,0.837737871472837,0.9519274599974348,0.34062720608199837,39.0,,,29,27,0.9310344827586207,,,16,13,0.8125,,
FAKE_ANCHOR,锚？？？,原版,Event,108,98,0.9074074074074074,0.8379014075477644,0.9489266696957817,0.3380346134894058,37.0,,,43,39,0.9069767441860465,,,21,19,0.9047619047619048,,
POLLINOUS_CORE,花粉核心,原版,Event,82,74,0.9024390243902439,0.819127942385788,0.9497313117173021,0.33306623047224226,23.0,,,27,26,0.9629629629629629,,,21,17,0.8095238095238095,,
FAKE_MANGO,芒果？？？,原版,Event,108,97,0.8981481481481481,0.8267749385359173,0.9421706824066391,0.3287753542301465,37.0,,,46,41,0.8913043478260869,,,13,12,0.9230769230769231,,
FAKE_HAPPY_FLOWER,开心小花？？？,原版,Event,173,155,0.8959537572254336,0.8415380298880826,0.9331671829823291,0.3265809633074319,36,,,60,51,0.85,,,30,27,0.9,,
SWORD_OF_JADE,玉之剑,原版,Event,102,91,0.8921568627450981,0.8171406779024611,0.9387068027669795,0.3227840688270964,31.0,,,28,23,0.8214285714285714,,,19,17,0.8947368421052632,,
FRAGRANT_MUSHROOM,芳香蘑菇,原版,Event,259,231,0.8918918918918919,0.8481906008306535,0.9241380908103525,0.3225190979738902,39,,,80,67,0.8375,,,57,50,0.8771929824561403,,
FAKE_LEES_WAFFLE,李家华夫饼？？？,原版,Event,64,57,0.890625,0.7910135867310387,0.945998866555832,0.32125220608199834,36.5,,,29,24,0.8275862068965517,,,8,7,0.875,,
FAKE_ORICHALCUM,奥利哈钢？？？,原版,Event,43,38,0.8837209302325582,0.7552083818991787,0.9492957226019584,0.3143481363145565,37,,,17,15,0.8823529411764706,,,7,6,0.8571428571428571,,
MR_STRUGGLES,抱抱先生,原版,Event,76,67,0.881578947368421,0.7900078224920806,0.9364318099582094,0.31220615345041935,22.0,,,31,25,0.8064516129032258,,,12,12,1.0,,
ROYAL_POISON,王室猛毒,原版,Event,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346,0.29729387274866503,44,,,6,6,1.0,,,3,3,1.0,,
FAKE_STRIKE_DUMMY,打击木偶？？？,原版,Event,37,32,0.8648648648648649,0.7202258821599021,0.9408670557426799,0.29549207094686325,36,,,17,15,0.8823529411764706,,,4,2,0.5,,
FAKE_BLOOD_VIAL,小血瓶？？？,原版,Event,100,86,0.86,0.7786281178903616,0.9147365634006086,0.2906272060819983,31.0,,,47,37,0.7872340425531915,,,14,13,0.9285714285714286,,
BIG_MUSHROOM,大蘑菇,原版,Event,55,46,0.8363636363636363,0.7173625426094283,0.9114457966390772,0.26699084244563465,39,,,24,21,0.875,,,9,6,0.6666666666666666,,
DAUGHTER_OF_THE_WIND,风的女儿,原版,Event,122,101,0.8278688524590164,0.7511503474511101,0.8845701913101931,0.25849605854101476,23.0,,,43,35,0.813953488372093,,,25,18,0.72,,
LOST_WISP,迷失鬼火,原版,Event,46,38,0.8260869565217391,0.692766462836215,0.9091420829775368,0.2567141626037375,22.0,,,14,10,0.7142857142857143,,,12,10,0.8333333333333334,,
MAW_BANK,巨口储蓄罐,原版,Event,20,16,0.8,0.5839825677481064,0.919342337420202,0.23062720608199838,7.0,,,7,5,0.7142857142857143,,,3,3,1.0,,
FAKE_SNECKO_EYE,异蛇之眼？？？,原版,Event,5,4,0.8,0.37553462976252533,0.9637758913675698,0.23062720608199838,36,,,1,1,1.0,,,3,2,0.6666666666666666,,
WONGOS_MYSTERY_TICKET,旺购神秘券,原版,Event,40,32,0.8,0.652426936536005,0.895000102745623,0.23062720608199838,22.0,,,18,14,0.7777777777777778,,,6,3,0.5,,
EMBER_TEA,余烬茶,原版,Event,36,27,0.75,0.5892954623327166,0.8624952233700517,0.18062720608199834,15.5,,,24,18,0.75,,,1,1,1.0,,
TEA_OF_DISCOURTESY,无礼之茶,原版,Event,166,120,0.7228915662650602,0.650350446117743,0.7853500036653907,0.15351877234705857,15.0,,,60,41,0.6833333333333333,,,29,17,0.5862068965517241,,
CHOSEN_CHEESE,天选芝士,原版,Event,304,207,0.680921052631579,0.6265451424929228,0.7307816465022879,0.11154825871357732,11.0,,,126,82,0.6507936507936508,,,46,29,0.6304347826086957,,
BING_BONG,宾邦,原版,Event,37,25,0.6756756756756757,0.514636672419722,0.8036673347185581,0.106302881757674,27,,,14,8,0.5714285714285714,,,5,4,0.8,,
BONE_TEA,骨茶,原版,Event,118,76,0.6440677966101694,0.5543884587811645,0.7246626977716761,0.07469500269216778,13.0,,,54,30,0.5555555555555556,,,14,9,0.6428571428571429,,
